date,startup,vertical,subvertical,city,investor,round,amount
8/8/2021,Wefly Indoor Skydiving,Others,Indoor Skydiving Sports Provider,Mumbai,Swastika Company Ltd.,Seed Funding,0.33
8/8/2021,Mojarto,eCommerce,"Original Art, Digital Prints etailer",Gurgaon,Undisclosed Investors,Seed Funding,3.67125
8/8/2021,Zipgrid,Consumer Internet,Community services platform,Mumbai,1Crowd (through crowd funding),Seed Funding,1.65
8/9/2021,MobiDent,Healthcare,Dental Protection Solution,Bangalore,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Funding,0
8/9/2021,Zeolr/RespirON,Technology,Healthcare related IoT platform,New Delhi,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Funding,0
8/10/2021,Vebbler,Consumer Internet,Photo Sharing Mobile App,Bangalore,"Anupam Mittal, Sharad Sharma & 14 others",Seed Funding,4.125
8/10/2021,Bombay Shaving Company,eCommerce,Men\\xe2\\x80\\x99s Grooming Product etailer,New Delhi,"Noshir Kaka, Subramanian Ramadorai, Kiran Deshpande, Pankaj Gupta, Ravi Nigam & Others",Seed Funding,4.95
8/11/2021,Travelyaari,Consumer Internet,Online ticket booking platform,Bangalore,"Gujarat Venture Finance Limited (GVFL), Bennett Coleman & Co. Ltd",Private Equity,57.75
8/11/2021,91SpringBoard,Consumer Internet,Co-Working Spaces Discovery & Booking platform,Mumbai,"Khattar Holdings, ThirtyThree Investments, Soumitra Sharma, Deepak Sharma, Sumit Dayal and others",Private Equity,0
8/11/2021,Genextstudents,Consumer Internet,Online Tutoring Service provider,Mumbai,1Crowd (through crowdfunding),Seed Funding,1.72425
8/11/2021,Zenoti,Technology,Cloud Based Software Solutions Provider,Hyderabad,"Norwest Venture Partners, Accel India",Private Equity,123.75
8/12/2021,Crofarm,Technology,Agri-Tech supply chain Solution provider,Gurgaon,"Mukul Singhal, Rohit Jain, Himanshu Aggrawal, Sunil Goyal Ashish Gupta,",Private Equity,12.375
8/12/2021,Faircent.com,Consumer Internet,peer-to-peer lending platform,Gurgaon,Brand Capital,Private Equity,12.375
8/12/2021,Innovaccer,Technology,Integrated Enterprise Analytics Platform,Noida,Westbridge Capital Partners,Private Equity,128.7
8/12/2021,Cuberoot,Technology,Data Analytics & Audience Management Platform,Gurgaon,Undisclosed Investors,Seed Funding,4.125
8/12/2021,Funcastic,Consumer Internet,B2C vernacular podcast aggregator platform,New Delhi,"HT Media Ltd, North Base Media",Seed Funding,0
8/15/2021,Buttercups,ECommerce,Women Intimate Wear eTailer,Bangalore,"Anand Chandrasekaran, Kanwaljit Singh, Manoj Varghese",Seed Funding,0
8/16/2021,Zappfresh,ECommerce,Raw Meat Products eTailer,Gurgaon,Ashvin Chadha,Seed Funding,0
8/16/2021,OyoRooms,Consumer Internet,Budget Hotels Aggregator,New Delhi,SoftBank Group,Private Equity,511.5
8/16/2021,Hike,Consumer Internet,Mobile Messaging App,New Delhi,"Tencent Holdings, Foxconn Technology Group, Tiger Global, SoftBank Group, Bharti Enterprises",Private Equity,1443.75
8/16/2021,Joolz,eCommerce,Online Jewellery Store,Mumbai,"Powerhouse Ventures, M&S Partners",Private Equity,4.125
8/16/2021,SaleBhai,eCommerce,"Sweets, Dry Fruits & Handicrafts etailer",Ahmedabad,Brand Capital,Private Equity,12.375
8/16/2021,Makkajai,Technology,Online & Mobile learning for kids,Pune,"Anand Chandrasekaran, Ananth Narayanan, Mekin Maheshwari, Ravi Garikipati, Divyesh Shah, Swastika Company Ltd",Seed Funding,2.0625
8/16/2021,Gradopedia,Consumer Internet,Career progression Portal,Mumbai,Undisclosed Dubai based HNIs,Seed Funding,0
8/17/2021,MaalGaadi,Logistics,Online Logistics Marketplace,Indore,"Swan Angel Network,Sachin Khandelwal and others",Seed Funding,3.09375
8/17/2021,ZiPi,Technology,Mobile Chatbot App,Bangalore,Swan Angel Network,Seed Funding,0
8/17/2021,Appknox,Technology,Mobile security solutions,Bangalore,"SeedPlus, Infocomm Investments, Accel Partners RNT Associates",Private Equity,5.56875
8/17/2021,Pikkol,Logistics,Packers & Movers,Bangalore,Indian Angel Network,Seed Funding,0
8/18/2021,Meesho,eCommerce,Mobile based eCommerce SAAS platform,Bangalore,"Kashyap Deorah, Rajul Garg, Maninder Gulati",Seed Funding,0
8/18/2021,Sesame Software,Technology,Financial Technology Solutions Provider,Kozhikode,Speridian Technologies,Private Equity,0
8/19/2021,Quikr,Consumer Internet,Classified Listings platform,Mumbai,Brand Capital,Private Equity,165
8/19/2021,Digio,Technology,Aadhar based Document Signing platform,Bangalore,Rainmatter,Private Equity,3.09375
8/19/2021,Ziffity,Technology,Full Service Ecommerce Agency,Chennai,Aspire Systems,Private Equity,0
8/22/2021,Zzungry,Consumer Internet,Food Delivery platform,Bangalore,"Satish Vasudeva, Madhusudhan Jujare & Others",Seed Funding,0
8/22/2021,Puro Wellness,healthcare,"Organic,\\xc2\\xa0 Natural\\xc2\\xa0 Food substitute manufacturer",Mumbai,Torrent Group,Private Equity,305.25
8/22/2021,Fitternity,Consumer Internet,Fitness Gym & Services Discovery platform,Mumbai,"Saha Fund, Exfinity Venture Partners & Others",Private Equity,0
8/23/2021,TAC Security,Technology,Cyber-Security Solutions Provider,New Delhi,Vijay Kedia,Seed Funding,0
8/23/2021,Notesgen,Consumer Internet,Online Notes Sharing Portal,New Delhi,"Riju Gupta, Kamal Chabra",Seed Funding,0.825
8/23/2021,NearU,Consumer Internet,Marketing app for retailers,Mumbai,Dr. Goutam Challagalla,Seed Funding,0
8/23/2021,Octo.ai,Technology,Artificial Intelligence based marketing platform,New Delhi,"Outbox Ventures, Jaspreet Bindra, Arjun Malhotra, Rohan Malhotra, Sidharth Rao, Rakesh Agrawal",Seed Funding,1.65
8/24/2021,ShaadiSaga,Consumer Internet,Wedding Website Creator,New Delhi,"ah! Ventures, Anupam Mittal, Kunal Shah, Sandeep Tandon, Dheeraj Jain, Rohit Chokhani",Seed Funding,0
8/24/2021,UnaAcademy,Consumer Internet,Free Interactive education platform,Bangalore,"Blume Ventures, Sachin Bansal, Vijay Shekhar Sharma, Binny Bansal,\\xc2\\xa0 Kunal Shah, Sandeep Tandon, Ashish Tulsian",Private Equity,8.25
8/24/2021,Advenio,Technology,Clinical Imaging Solution Provider,Chandigarh,Kalaari Capital,Seed Funding,0.825
8/24/2021,Guarented,eCommerce,Home Furnishing rental marketplace,Bangalore,Kalaari Capital,Seed Funding,4.125
8/24/2021,Beyond Evolution,Technology,Mobile Apps & Tech Services provider,Gurgaon,"Vineet Taneja, Kamal Puri",Seed Funding,0
8/24/2021,Uber Dreams,eCommerce,Dreams fulfilling marketplace,Mumbai,Mohit Lalvani,Seed Funding,4.125
8/24/2021,Convegenius,Education,Edutainment platform,Noida,Michael and Susan Dell Foundation,Private Equity,7.425
8/24/2021,UrbanLadder,eCommerce,Online Furniture Store,Mumbai,Trifecta Capital,Private Equity,24.75
8/24/2021,enCashea,Consumer Internet,Scrap Collection and Recycling platform,Bangalore,"Kunal Shah, Sandeep Tandon, Tracxn Labs",Seed Funding,0
8/25/2021,EngineerBabu,Technology,Mobile App & Web Development company,Indore,Scale Ventures,Seed Funding,0
8/25/2021,Cult,Healthcare,Health and Fitness Centres,Bangalore,CureFit,Private Equity,24.75
8/25/2021,WitWorks,Technology,Consumer IoT Startup,Bangalore,"Fireside Ventures, Investopad, P39 Capital, Anupam Mittal, Pranay Jivrajka, Maninder Gulati, Abhinav Sinha",Seed Funding,0
8/25/2021,NearFox,Consumer Internet,Local Lifestyle Content and Discovery Platform,Mumbai,"Globevestor Angel Fund, Devendra Rane, Ravi Jain,\\xc2\\xa0 Arpan Nagdeve",Seed Funding,0
8/25/2021,ZoomCar,Consumer Internet,Self-driven car booking platform,Bangalore,Ford Smart Mobility Llc,Private Equity,198
8/26/2021,Plix,Consumer Internet,Photo and Video Sharing App,Gurgaon,Instalabs,Seed Funding,4.125
8/26/2021,Mobikwik,Consumer Internet,Digital Wallet platform,Gurgaon,Net1 UEPS Technologies Inc,Private Equity,330
8/26/2021,MyDidi,Consumer Internet,"on-demand, hyper-local Cleaning services provider",Mumbai,Undisclosed Ex Mckinsey Directors and Partners,Seed Funding,4.5375
8/26/2021,CrownIt,Consumer Internet,Cashback Mobile app,Gurgaon,"Kunal Shah & Sandeep Tandon, Girish Mathrubootham, Anand Chandrasekaran",Seed Funding,0
8/29/2021,LoanTap,Consumer Internet,Lending platform for Salaried professionals,Mumbai,"Dr. Abhishek Pandey, Jaysukh Sapra",Private Equity,24.75
8/29/2021,Runnr,Consumer Internet,hyperlocal Logistics services provider,Bangalore,"Nexus Venture Partners, Blume Ventures",Private Equity,57.75
8/29/2021,Zolo,Consumer Internet,on-demand online talent marketplace,Noida,Hitouch AG,Private Equity,0
8/29/2021,Notion Press,Consumer Internet,Self-Publishing books platform,Chennai,Undisclosed HNI investors,Private Equity,8.25
8/29/2021,LivSpace,Consumer Internet,Online portal for Home Design,Bangalore,"Bessemer Venture Partners, Jungle Ventures, Helion Ventures",Private Equity,123.75
8/30/2021,iAugmentor Labs,Technology,Assessment & Learning Platform,Gurgaon,Rajasthan Angel Investor Network & Others,Seed Funding,1.22925
8/30/2021,DayBox,Consumer Internet,Fruit & Vegetable Delivery platform,New Delhi,"Ashutosh Lawania, Rajul Jain, Badal Malick, Rishi Gupta & Others",Seed Funding,0.858
